Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-01-08 00:00:00-05:00,19.344797134399414,19.624576029679066,19.344797134399414,19.344797134399414,20200,0.0,0.0
2007-01-09 00:00:00-05:00,19.344797134399414,19.424733090376098,19.224890151073133,19.344797134399414,22500,0.0,0.0
2007-01-10 00:00:00-05:00,19.22488784790039,19.46470026114241,19.1049824036196,19.22488784790039,37600,0.0,0.0
2007-01-11 00:00:00-05:00,19.304826736450195,19.304826736450195,19.025046329465006,19.304826736450195,28100,0.0,0.0
2007-01-12 00:00:00-05:00,19.504669189453125,19.62457463960548,19.304826264305696,19.504669189453125,30400,0.0,0.0
2007-01-16 00:00:00-05:00,19.58460235595703,19.58460235595703,19.26485405099989,19.58460235595703,22400,0.0,0.0
2007-01-17 00:00:00-05:00,19.504669189453125,19.62457463960548,19.22488878931062,19.504669189453125,38400,0.0,0.0
2007-01-18 00:00:00-05:00,19.82441520690918,19.944322167480756,19.744479266101912,19.82441520690918,27500,0.0,0.0
2007-01-19 00:00:00-05:00,20.1441650390625,20.1441650390625,19.784447207240536,20.1441650390625,43100,0.0,0.0
2007-01-22 00:00:00-05:00,19.984294891357422,20.024262871267855,19.744483962533412,19.984294891357422,36200,0.0,0.0
2007-01-23 00:00:00-05:00,19.904354095458984,19.904354095458984,19.624573708589633,19.904354095458984,64300,0.0,0.0
2007-01-24 00:00:00-05:00,19.22488784790039,19.46470026114241,19.184919874700277,19.22488784790039,62000,0.0,0.0
2007-01-25 00:00:00-05:00,18.94510841369629,19.224887267004224,18.74526550437325,18.94510841369629,49300,0.0,0.0
2007-01-26 00:00:00-05:00,18.785232543945312,19.06501290804652,18.785232543945312,18.785232543945312,31800,0.0,0.0
2007-01-29 00:00:00-05:00,18.94510841369629,19.184919295011774,18.825201448358147,18.94510841369629,21000,0.0,0.0
2007-01-30 00:00:00-05:00,19.128965377807617,19.264858630301568,19.065015701615202,19.128965377807617,29000,0.0,0.0
2007-01-31 00:00:00-05:00,19.22488784790039,19.344794816861622,19.02504493253893,19.22488784790039,28900,0.0,0.0
2007-02-01 00:00:00-05:00,19.344797134399414,19.544640073702382,19.224890151073133,19.344797134399414,46300,0.0,0.0
2007-02-02 00:00:00-05:00,19.384761810302734,19.46469927734315,19.264856372082296,19.384761810302734,18800,0.0,0.0
2007-02-05 00:00:00-05:00,19.384761810302734,19.384761810302734,19.384761810302734,19.384761810302734,0,0.0,0.0
2007-02-06 00:00:00-05:00,19.944324493408203,20.104197918347676,19.904354993662945,19.944324493408203,15800,0.0,0.0
2007-02-07 00:00:00-05:00,20.064226150512695,20.064226150512695,19.824413771414797,20.064226150512695,15200,0.0,0.0
2007-02-08 00:00:00-05:00,20.1441650390625,20.1441650390625,19.82441517758505,20.1441650390625,48100,0.0,0.0
2007-02-09 00:00:00-05:00,19.62457275390625,19.864385155848222,19.62457275390625,19.62457275390625,28900,0.0,0.0
2007-02-12 00:00:00-05:00,19.58460235595703,19.784445237140265,19.464696932183127,19.58460235595703,93000,0.0,0.0
2007-02-13 00:00:00-05:00,19.82441520690918,19.904352672396783,19.664541800614305,19.82441520690918,32300,0.0,0.0
2007-02-14 00:00:00-05:00,20.1441650390625,20.344007940145737,19.984290108323773,20.1441650390625,29800,0.0,0.0
2007-02-15 00:00:00-05:00,20.104196548461914,20.26407148718814,20.064228576120563,20.104196548461914,47100,0.0,0.0
2007-02-16 00:00:00-05:00,19.58460235595703,20.144163033142163,19.544634389592456,19.58460235595703,293300,0.0,0.0
2007-02-20 00:00:00-05:00,19.62457275390625,20.35999470877029,19.62457275390625,19.62457275390625,176400,0.0,0.0
2007-02-21 00:00:00-05:00,19.8643856048584,19.8643856048584,19.584605225275524,19.8643856048584,272300,0.0,0.0
2007-02-22 00:00:00-05:00,19.784446716308594,19.784446716308594,19.54463585083152,19.784446716308594,58700,0.0,0.0
2007-02-23 00:00:00-05:00,19.944324493408203,20.18413539315767,19.904354993662945,19.944324493408203,46200,0.0,0.0
2007-02-26 00:00:00-05:00,19.944324493408203,20.14416741809293,19.784449543788213,19.944324493408203,33800,0.0,0.0
2007-02-27 00:00:00-05:00,19.22488784790039,19.98429153614612,19.184919874700277,19.22488784790039,23000,0.0,0.0
2007-02-28 00:00:00-05:00,19.704509735107422,19.744479230118554,19.384761398420068,19.704509735107422,33600,0.0,0.0
2007-03-01 00:00:00-05:00,19.504669189453125,19.584606664448202,19.22488878931062,19.504669189453125,26900,0.0,0.0
2007-03-02 00:00:00-05:00,19.18492317199707,19.30482863688591,19.065017707108233,19.18492317199707,30100,0.0,0.0
2007-03-05 00:00:00-05:00,18.3455810546875,18.825202853108195,18.3455810546875,18.3455810546875,44200,0.0,0.0
2007-03-06 00:00:00-05:00,18.74526596069336,18.74526596069336,18.425516078248435,18.74526596069336,28100,0.0,0.0
2007-03-07 00:00:00-05:00,18.6253604888916,18.745267466782597,18.46548705950454,18.6253604888916,33700,0.0,0.0
2007-03-08 00:00:00-05:00,18.94510841369629,19.144951323019328,18.865170945030993,18.94510841369629,53800,0.0,0.0
2007-03-09 00:00:00-05:00,19.424732208251953,19.664544639333425,19.424732208251953,19.424732208251953,19900,0.0,0.0
2007-03-12 00:00:00-04:00,19.664541244506836,19.704509213780184,19.38476088555249,19.664541244506836,15800,0.0,0.0
2007-03-13 00:00:00-04:00,19.06501579284668,19.50466962818833,19.06501579284668,19.06501579284668,63000,0.0,0.0
2007-03-14 00:00:00-04:00,19.14495277404785,19.464701148262908,19.10498327434565,19.14495277404785,11100,0.0,0.0
2007-03-15 00:00:00-04:00,19.424732208251953,19.54463918613297,19.14495332567774,19.424732208251953,19900,0.0,0.0
2007-03-16 00:00:00-04:00,19.944324493408203,19.944324493408203,19.624574594168223,19.944324493408203,19600,0.0,0.0
2007-03-19 00:00:00-04:00,20.02425765991211,20.28005784868073,16.027399721831426,20.02425765991211,19600,0.0,0.0
2007-03-20 00:00:00-04:00,20.423948287963867,20.743698218437732,20.2640748474076,20.423948287963867,12300,0.0,0.0
2007-03-21 00:00:00-04:00,20.783662796020508,20.86360026555667,20.50388241498415,20.783662796020508,15700,0.0,0.0
2007-03-22 00:00:00-04:00,20.54384994506836,20.823628774636152,20.54384994506836,20.54384994506836,161800,0.0,0.0
2007-03-23 00:00:00-04:00,20.543850106571384,21.423157620148917,20.46391264406062,21.02347183227539,36900,0.0,0.0
2007-03-26 00:00:00-04:00,20.783662796020508,20.983505707520706,20.703725326484346,20.783662796020508,156700,0.0,0.0
2007-03-27 00:00:00-04:00,21.58303451538086,21.822845400124034,21.543066542817137,21.58303451538086,15900,0.0,0.0
2007-03-28 00:00:00-04:00,21.423160552978516,21.782878421182158,21.423160552978516,21.423160552978516,15800,0.0,0.0
2007-03-29 00:00:00-04:00,21.862815856933594,21.942753330249936,21.623003436984558,21.862815856933594,18400,0.0,0.0
2007-03-30 00:00:00-04:00,21.782878875732422,21.8628163508547,21.583035950266986,21.782878875732422,11300,0.0,0.0
2007-04-02 00:00:00-04:00,21.942752838134766,22.182563728025016,21.862815366611198,21.942752838134766,35500,0.0,0.0
2007-04-03 00:00:00-04:00,21.918771743774414,22.26250181352922,21.902783944092683,21.918771743774414,44900,0.0,0.0
2007-04-04 00:00:00-04:00,21.942752838134766,22.182563728025016,21.902783340032755,21.942752838134766,20200,0.0,0.0
2007-04-05 00:00:00-04:00,22.302465438842773,22.502308321851544,22.222527980703227,22.302465438842773,17500,0.0,0.0
2007-04-09 00:00:00-04:00,22.18256378173828,22.422374672209212,22.18256378173828,22.18256378173828,18600,0.0,0.0
2007-04-10 00:00:00-04:00,22.78209114074707,22.941966074413934,22.62221620708021,22.78209114074707,20500,0.0,0.0
2007-04-11 00:00:00-04:00,22.981937408447266,23.1418123655087,22.862031952991487,22.981937408447266,54500,0.0,0.0
2007-04-12 00:00:00-04:00,23.14181137084961,23.14181137084961,22.742125520055527,23.14181137084961,9400,0.0,0.0
2007-04-13 00:00:00-04:00,23.58146095275879,23.58146095275879,23.14180720588454,23.58146095275879,25300,0.0,0.0
2007-04-16 00:00:00-04:00,23.621431350708008,23.861243757501835,23.541495406457138,23.621431350708008,28100,0.0,0.0
2007-04-17 00:00:00-04:00,24.460773468017578,24.540710940153282,23.781307241884775,24.460773468017578,20000,0.0,0.0
2007-04-18 00:00:00-04:00,24.061086654663086,24.340867033433202,24.021117157878553,24.061086654663086,28700,0.0,0.0
2007-04-19 00:00:00-04:00,24.340869903564453,24.340869903564453,23.86124655835854,24.340869903564453,18600,0.0,0.0
2007-04-20 00:00:00-04:00,23.78130531311035,24.141023146206006,23.78130531311035,23.78130531311035,24000,0.0,0.0
2007-04-23 00:00:00-04:00,23.821277618408203,24.061090059004634,23.78130964064911,23.821277618408203,29600,0.0,0.0
2007-04-24 00:00:00-04:00,23.74134063720703,23.941183566730054,23.74134063720703,23.74134063720703,22300,0.0,0.0
2007-04-25 00:00:00-04:00,23.86124610900879,24.14102651550019,23.821276608263986,23.86124610900879,31800,0.0,0.0
2007-04-26 00:00:00-04:00,23.813282012939453,24.02111729871596,23.741338442985885,23.813282012939453,15300,0.0,0.0
2007-04-27 00:00:00-04:00,23.90121078491211,24.021116221229462,23.66139991227741,23.90121078491211,17500,0.0,0.0
2007-04-30 00:00:00-04:00,23.78130531311035,23.981148214901197,23.78130531311035,23.78130531311035,17600,0.0,0.0
2007-05-01 00:00:00-04:00,23.621431350708008,23.941181226433113,23.581463378582573,23.621431350708008,16400,0.0,0.0
